Symbol: Xe
Atomic Number: 54
Atomic Mass: 131.290000
Start Spectral Index: 54
10 0.011271
11 0.011289
11 0.011302
11 0.011336
7 0.011342
10 0.011344
11 0.011373
11 0.011402
10 0.011431
11 0.011471
25 0.011486
10 0.011488
10 0.011488
10 0.011563
10 0.011566
11 0.011634
10 0.011654
25 0.011680
7 0.011824
26 0.011893
11 0.011929
7 0.011975
9 0.012013
11 0.012290
7 0.012324
8 0.012322
8 0.012327
44 0.012392
11 0.012636
11 0.012701
11 0.012723
11 0.012761
11 0.012797
11 0.012808
11 0.012822
11 0.012834
11 0.012883
11 0.012964
43 0.012993
11 0.012993
11 0.012999
11 0.013008
11 0.013016
11 0.013028
26 0.013041
11 0.013044
11 0.013068
11 0.013105
11 0.013116
11 0.013128
11 0.013132
11 0.013140
25 0.013144
11 0.013148
11 0.013151
11 0.013158
11 0.013162
11 0.013165
11 0.013171
11 0.013173
19 0.013174
11 0.013187
11 0.013191
11 0.013198
11 0.013207
11 0.013230
11 0.013247
11 0.013257
11 0.013262
25 0.013261
11 0.013266
11 0.013270
11 0.013274
11 0.013278
11 0.013284
11 0.013293
11 0.013298
11 0.013304
11 0.013304
11 0.013307
11 0.013308
11 0.013336
10 0.013339
11 0.013344
11 0.013352
11 0.013353
11 0.013365
11 0.013371
11 0.013376
11 0.013386
11 0.013389
11 0.013393
11 0.013397
11 0.013404
11 0.013409
11 0.013412
11 0.013419
10 0.013419
11 0.013424
11 0.013431
11 0.013443
11 0.013458
11 0.013462
11 0.013467
11 0.013469
11 0.013475
11 0.013484
26 0.013485
11 0.013493
11 0.013496
11 0.013499
11 0.013507
11 0.013510
11 0.013514
11 0.013520
11 0.013522
11 0.013526
11 0.013530
11 0.013532
11 0.013533
11 0.013533
11 0.013539
11 0.013543
11 0.013546
11 0.013552
11 0.013557
11 0.013561
10 0.013573
11 0.013586
11 0.013588
11 0.013596
11 0.013600
11 0.013601
11 0.013602
11 0.013607
11 0.013619
11 0.013621
25 0.013627
11 0.013629
11 0.013632
11 0.013635
11 0.013640
11 0.013640
11 0.013645
11 0.013648
11 0.013651
11 0.013655
11 0.013659
11 0.013660
11 0.013661
11 0.013667
11 0.013671
11 0.013673
11 0.013683
11 0.013691
11 0.013692
11 0.013694
