Symbol: Cr
Atomic Number: 24
Atomic Mass: 51.996100
Start Spectral Index: 24
23 0.003490
23 0.003495
23 0.003526
23 0.003535
14 0.003545
14 0.003545
23 0.003545
23 0.003550
23 0.003557
23 0.003563
23 0.003564
23 0.003564
23 0.003566
23 0.003572
14 0.003647
14 0.003647
22 0.003693
22 0.003693
22 0.003755
14 0.003760
22 0.003765
22 0.003802
14 0.003804
14 0.003804
14 0.003805
14 0.003868
22 0.003869
14 0.003890
22 0.003910
14 0.003980
14 0.004002
14 0.004002
14 0.004078
14 0.004080
13 0.004091
14 0.004156
14 0.004179
14 0.004180
14 0.004221
14 0.004245
14 0.004360
13 0.004372
14 0.004460
14 0.004460
14 0.004487
14 0.004487
14 0.004583
14 0.004604
14 0.004613
14 0.004641
14 0.004641
14 0.004645
14 0.004647
14 0.004653
13 0.004728
13 0.004717
13 0.004778
14 0.004830
14 0.004834
14 0.004834
14 0.004899
14 0.004899
14 0.004903
13 0.004901
13 0.004959
14 0.005081
14 0.005116
14 0.005117
14 0.005232
14 0.005236
14 0.005237
13 0.005301
13 0.005340
13 0.005351
14 0.005364
14 0.005367
14 0.005369
14 0.005376
13 0.005377
14 0.005416
13 0.005618
13 0.005698
13 0.005712
13 0.005712
15 0.005778
15 0.005801
15 0.005811
15 0.005820
15 0.005835
15 0.005832
15 0.005848
15 0.005858
14 0.006070
14 0.006076
14 0.006076
15 0.006146
15 0.006164
15 0.006175
15 0.006223
15 0.006232
15 0.006238
15 0.006249
15 0.006275
15 0.006284
15 0.006296
15 0.006306
15 0.006306
14 0.006332
14 0.006354
15 0.006364
14 0.006393
14 0.006400
14 0.006404
13 0.006502
13 0.006506
13 0.006520
13 0.006597
13 0.006698
14 0.006859
14 0.006921
14 0.006927
15 0.007043
15 0.007073
13 0.007079
13 0.007098
13 0.007097
13 0.007140
13 0.007143
7 0.007174
15 0.007184
13 0.007193
15 0.007197
13 0.007207
15 0.007216
13 0.007213
15 0.007251
13 0.007279
15 0.007269
15 0.007285
13 0.007294
15 0.007294
15 0.007297
15 0.007329
13 0.007316
15 0.007363
15 0.007388
15 0.007417
15 0.007421
23 0.007423
15 0.007469
15 0.007474
15 0.007481
7 0.007487
23 0.007488
15 0.007498
15 0.007506
15 0.007508
15 0.007524
15 0.007530
15 0.007545
15 0.007560
15 0.007569
15 0.007574
12 0.007591
15 0.007589
15 0.007612
15 0.007616
13 0.007617
15 0.007637
23 0.007644
12 0.007649
23 0.007707
23 0.007722
15 0.007789
15 0.007861
14 0.007913
14 0.007913
14 0.008092
11 0.008101
11 0.008119
11 0.008121
7 0.008149
11 0.008158
22 0.008160
14 0.008182
7 0.008198
11 0.008203
22 0.008224
13 0.008280
11 0.008330
13 0.008462
14 0.008466
13 0.008490
14 0.008504
14 0.008505
13 0.008556
14 0.008606
14 0.008616
14 0.008618
13 0.008689
14 0.008692
14 0.008692
17 0.008959
13 0.008999
19 0.009000
13 0.009002
13 0.009017
18 0.009063
13 0.009085
12 0.009088
13 0.009115
13 0.009175
13 0.009179
13 0.009185
13 0.009201
7 0.009213
13 0.009218
13 0.009239
18 0.009251
13 0.009260
7 0.009297
14 0.009303
18 0.009333
13 0.009342
14 0.009346
14 0.009350
18 0.009417
9 0.009431
17 0.009449
17 0.009471
19 0.009551
18 0.009576
19 0.009589
7 0.009592
14 0.009605
14 0.009605
12 0.009611
14 0.009612
9 0.009619
12 0.009635
14 0.009635
9 0.009649
12 0.009650
9 0.009653
7 0.009676
14 0.009685
13 0.009693
9 0.009720
17 0.009719
13 0.009724
20 0.009749
18 0.009768
20 0.009773
15 0.009789
9 0.009799
9 0.009809
11 0.009848
11 0.009892
11 0.009910
11 0.009911
18 0.009938
14 0.009944
14 0.009945
14 0.009946
11 0.009949
11 0.009969
11 0.010010
11 0.010011
7 0.010059
19 0.010070
14 0.010083
11 0.010090
14 0.010104
12 0.010119
14 0.010142
12 0.010148
7 0.010157
20 0.010163
17 0.010193
18 0.010232
8 0.010242
14 0.010272
14 0.010284
8 0.010302
15 0.010330
8 0.010338
8 0.010349
8 0.010391
7 0.010413
19 0.010420
14 0.010449
14 0.010457
14 0.010457
15 0.010459
18 0.010498
7 0.010514
11 0.010526
11 0.010565
8 0.010569
18 0.010591
10 0.010650
16 0.010663
8 0.010669
18 0.010685
10 0.010712
10 0.010743
10 0.010770
19 0.010771
14 0.010776
14 0.010776
10 0.010790
14 0.010786
18 0.010837
19 0.010934
19 0.010968
14 0.010979
10 0.010982
10 0.011039
18 0.011039
19 0.011039
14 0.011041
14 0.011044
10 0.011101
14 0.011115
10 0.011108
14 0.011118
19 0.011119
14 0.011120
19 0.011194
18 0.011226
10 0.011331
10 0.011370
18 0.011401
19 0.011401
7 0.011424
11 0.011511
10 0.011529
16 0.011535
7 0.011541
20 0.011609
17 0.011659
7 0.011665
10 0.011675
10 0.011709
11 0.011712
17 0.011721
9 0.011744
14 0.011761
9 0.011794
20 0.011799
9 0.011817
19 0.011832
14 0.011835
19 0.011868
19 0.011884
18 0.011921
9 0.011927
20 0.011929
9 0.011931
9 0.011958
18 0.011965
19 0.012087
17 0.012090
9 0.012129
9 0.012179
20 0.012229
18 0.012258
9 0.012272
9 0.012298
17 0.012297
9 0.012321
18 0.012384
8 0.012418
17 0.012500
14 0.012532
17 0.012539
14 0.012542
18 0.012544
14 0.012545
18 0.012552
8 0.012573
19 0.012596
19 0.012625
19 0.012630
19 0.012618
9 0.012731
9 0.012742
9 0.012753
9 0.012788
9 0.012795
19 0.012795
18 0.012814
19 0.012844
20 0.012842
19 0.012863
19 0.012899
20 0.012927
18 0.012954
9 0.012977
17 0.012976
9 0.012999
8 0.013000
20 0.013079
19 0.013100
9 0.013108
20 0.013132
20 0.013153
8 0.013164
19 0.013214
8 0.013232
17 0.013280
18 0.013308
14 0.013317
14 0.013331
14 0.013336
8 0.013340
20 0.013382
19 0.013407
8 0.013408
8 0.013494
19 0.013495
8 0.013518
20 0.013527
8 0.013589
14 0.013598
14 0.013602
14 0.013602
18 0.013660
19 0.013789
19 0.013814
19 0.013852
19 0.013884
18 0.013999
19 0.014055
21 0.014072
20 0.014075
18 0.014082
19 0.014092
8 0.014317
18 0.014355
19 0.014359
6 0.014479
6 0.014496
8 0.014637
7 0.014650
8 0.014663
6 0.014678
6 0.014698
8 0.014720
8 0.014730
17 0.014742
8 0.014749
20 0.014764
18 0.014774
14 0.014849
19 0.014868
7 0.014871
20 0.014899
14 0.014910
6 0.014971
18 0.014991
21 0.014991
6 0.014992
18 0.014997
19 0.015127
18 0.015190
19 0.015239
20 0.015286
6 0.015420
6 0.015442
21 0.015461
19 0.015491
18 0.015547
20 0.015602
14 0.015637
14 0.015637
14 0.015710
18 0.015740
14 0.015835
14 0.015843
19 0.016004
19 0.016033
19 0.016125
20 0.016133
6 0.016166
6 0.016169
6 0.016169
6 0.016184
6 0.016191
6 0.016193
6 0.016256
6 0.016276
6 0.016301
6 0.016351
6 0.016380
19 0.016397
19 0.016406
6 0.016416
6 0.016430
6 0.016456
20 0.016463
6 0.016483
18 0.016490
14 0.016499
21 0.016503
19 0.016549
14 0.016570
14 0.016574
7 0.016649
7 0.016656
7 0.016693
7 0.016702
7 0.016750
7 0.016750
20 0.016798
17 0.016802
6 0.016809
6 0.016835
7 0.016852
21 0.016862
7 0.016909
19 0.016940
6 0.016943
14 0.016963
19 0.016975
18 0.016981
7 0.016984
20 0.016989
7 0.017009
14 0.017012
7 0.017014
21 0.017015
7 0.017039
6 0.017057
7 0.017085
7 0.017098
6 0.017140
6 0.017221
6 0.017249
6 0.017284
20 0.017346
6 0.017397
7 0.017407
6 0.017417
7 0.017429
7 0.017532
20 0.017540
21 0.017545
6 0.017576
7 0.017581
18 0.017590
6 0.017604
7 0.017605
7 0.017630
20 0.017640
7 0.017661
9 0.017686
7 0.017692
7 0.017770
7 0.017789
7 0.017885
19 0.017919
20 0.017921
7 0.017968
7 0.017978
19 0.018039
9 0.018057
20 0.018093
21 0.018449
18 0.018467
19 0.018584
14 0.018701
