Symbol: Cu
Atomic Number: 29
Atomic Mass: 63.546000
Start Spectral Index: 29
18 0.034646
28 0.034774
5 0.035541
4 0.036086
17 0.036093
5 0.036396
17 0.036440
5 0.037063
28 0.037345
4 0.037440
5 0.037776
29 0.038506
17 0.038685
5 0.038740
16 0.038768
18 0.039568
5 0.039606
4 0.040524
4 0.040645
5 0.040694
16 0.041038
17 0.041023
4 0.041345
24 0.041410
22 0.042015
18 0.043047
23 0.043475
4 0.044368
4 0.045116
4 0.046372
27 0.048414
4 0.048453
4 0.049700
4 0.050460
4 0.050938
4 0.051951
25 0.052280
24 0.054000
4 0.054065
3 0.054290
4 0.055092
4 0.058485
23 0.058500
21 0.059215
3 0.061567
3 0.061603
26 0.064800
22 0.065785
2 0.068514
3 0.068798
2 0.070931
3 0.071553
2 0.071818
2 0.072449
28 0.072500
3 0.073038
2 0.073552
2 0.073603
24 0.075695
2 0.077929
3 0.078807
3 0.078846
3 0.079136
2 0.079746
3 0.080114
2 0.081100
2 0.081388
2 0.082700
3 0.082934
2 0.084881
2 0.085130
2 0.085849
2 0.086199
2 0.086539
2 0.086934
2 0.087326
2 0.087672
2 0.087701
2 0.087756
2 0.087870
2 0.088413
2 0.088585
2 0.088694
2 0.089057
2 0.089241
2 0.089368
2 0.089423
2 0.089676
2 0.089698
2 0.090107
2 0.090611
2 0.091421
2 0.092202
2 0.092424
2 0.093523
2 0.093590
2 0.094333
15 0.094415
2 0.094553
2 0.094596
16 0.095290
2 0.095438
2 0.095629
2 0.095815
2 0.096041
28 0.096200
2 0.096804
2 0.097476
2 0.097757
2 0.098766
2 0.099295
2 0.100405
2 0.100857
2 0.100873
2 0.101027
2 0.101260
2 0.101871
2 0.102783
2 0.102833
2 0.103026
2 0.103647
2 0.103935
2 0.103958
2 0.104452
2 0.104474
3 0.104888
2 0.104975
2 0.105469
2 0.105580
4 0.105613
2 0.105696
2 0.105880
2 0.105910
2 0.106063
2 0.106301
2 0.106578
2 0.106613
2 0.106919
2 0.107374
4 0.107472
2 0.108839
4 0.109165
2 0.109440
2 0.109705
5 0.109710
4 0.110550
5 0.110624
5 0.111322
4 0.111943
2 0.111995
5 0.112120
5 0.112880
5 0.113386
5 0.114238
2 0.114264
2 0.114486
5 0.114906
4 0.115218
5 0.115754
5 0.116735
5 0.117653
5 0.118363
3 0.118680
14 0.119040
5 0.119254
3 0.120096
5 0.120122
5 0.120490
5 0.121436
3 0.121930
5 0.122134
4 0.122744
4 0.122887
5 0.123011
5 0.123973
3 0.124438
5 0.124699
2 0.125005
5 0.125307
4 0.125869
28 0.125900
5 0.126024
