Symbol: Mg
Atomic Number: 12
Atomic Mass: 24.305000
Start Spectral Index: 12
6 0.009933
5 0.009961
6 0.009971
6 0.009974
6 0.009975
5 0.009979
6 0.010004
7 0.010036
7 0.010038
10 0.010051
10 0.010051
10 0.010055
6 0.010070
6 0.010070
6 0.010074
6 0.010074
6 0.010081
6 0.010081
6 0.010090
6 0.010090
5 0.010095
5 0.010095
6 0.010099
6 0.010103
6 0.010103
6 0.010103
6 0.010103
5 0.010113
5 0.010113
5 0.010113
5 0.010121
6 0.010150
6 0.010155
6 0.010155
11 0.010161
11 0.010163
11 0.010163
5 0.010167
5 0.010178
7 0.010196
7 0.010197
7 0.010197
7 0.010206
5 0.010207
7 0.010214
7 0.010214
6 0.010219
7 0.010224
6 0.010224
6 0.010225
8 0.010235
8 0.010235
7 0.010247
8 0.010258
8 0.010259
10 0.010269
10 0.010269
7 0.010291
6 0.010368
7 0.010369
6 0.010370
6 0.010373
6 0.010374
7 0.010374
6 0.010381
7 0.010382
7 0.010386
5 0.010390
5 0.010391
5 0.010391
6 0.010391
5 0.010394
5 0.010394
5 0.010394
6 0.010398
6 0.010399
6 0.010403
6 0.010404
6 0.010404
11 0.010405
11 0.010406
11 0.010409
11 0.010409
5 0.010410
5 0.010410
5 0.010413
5 0.010413
5 0.010418
11 0.010420
11 0.010421
11 0.010421
5 0.010421
5 0.010445
6 0.010452
6 0.010453
6 0.010459
6 0.010460
11 0.010503
11 0.010505
7 0.010516
11 0.010517
6 0.010541
6 0.010541
6 0.010550
11 0.010576
11 0.010577
6 0.010578
11 0.010581
11 0.010581
11 0.010589
8 0.010597
8 0.010598
8 0.010610
11 0.010614
11 0.010614
11 0.010616
11 0.010616
11 0.010617
11 0.010618
3 0.010630
11 0.010631
6 0.010652
6 0.010652
7 0.010652
7 0.010652
5 0.010657
7 0.010671
7 0.010671
11 0.010671
7 0.010671
8 0.010681
7 0.010681
8 0.010683
3 0.010699
10 0.010726
10 0.010742
10 0.010742
5 0.010765
6 0.010782
6 0.010782
6 0.010782
6 0.010801
6 0.010801
6 0.010801
3 0.010808
6 0.010811
6 0.010811
6 0.010815
6 0.010815
6 0.010834
6 0.010834
6 0.010834
8 0.010841
8 0.010843
6 0.010844
6 0.010844
8 0.010893
5 0.010916
8 0.010917
8 0.010920
5 0.010935
10 0.010953
10 0.010953
5 0.010956
10 0.010958
5 0.010965
5 0.010980
6 0.010985
6 0.010985
5 0.011002
6 0.011008
6 0.011008
5 0.011010
7 0.011012
3 0.011014
5 0.011045
5 0.011077
9 0.011078
5 0.011081
5 0.011085
5 0.011093
5 0.011099
5 0.011102
5 0.011108
5 0.011115
6 0.011117
6 0.011119
5 0.011119
6 0.011119
5 0.011124
5 0.011141
5 0.011146
5 0.011149
5 0.011155
6 0.011155
6 0.011155
6 0.011175
6 0.011175
6 0.011186
6 0.011186
7 0.011198
7 0.011200
7 0.011200
7 0.011212
7 0.011212
7 0.011227
8 0.011303
8 0.011305
8 0.011316
8 0.011318
6 0.011319
6 0.011319
6 0.011319
6 0.011319
6 0.011319
6 0.011319
6 0.011319
6 0.011319
5 0.011319
5 0.011321
5 0.011321
5 0.011328
5 0.011340
5 0.011341
5 0.011351
5 0.011370
5 0.011382
5 0.011382
5 0.011393
5 0.011395
5 0.011399
5 0.011403
5 0.011403
5 0.011405
5 0.011418
5 0.011420
5 0.011422
5 0.011428
5 0.011432
3 0.011433
6 0.011441
6 0.011441
6 0.011441
5 0.011449
6 0.011462
6 0.011462
6 0.011462
5 0.011472
6 0.011473
6 0.011474
5 0.011476
5 0.011476
5 0.011478
5 0.011482
8 0.011490
8 0.011491
8 0.011493
8 0.011494
5 0.011499
5 0.011500
5 0.011502
9 0.011502
5 0.011509
5 0.011536
5 0.011540
5 0.011544
5 0.011553
5 0.011582
5 0.011587
6 0.011697
6 0.011697
6 0.011697
6 0.011697
6 0.011697
6 0.011697
6 0.011697
6 0.011699
6 0.011699
6 0.011699
6 0.011699
6 0.011723
6 0.011723
6 0.011723
9 0.011724
7 0.011743
7 0.011752
7 0.011752
6 0.011753
6 0.011754
6 0.011757
7 0.011764
7 0.011764
7 0.011765
7 0.011766
7 0.011778
7 0.011781
5 0.011808
4 0.011816
4 0.011816
4 0.011842
4 0.011848
4 0.011849
5 0.011854
4 0.011874
4 0.011879
5 0.011881
5 0.011886
6 0.011889
6 0.011889
6 0.011890
6 0.011890
5 0.011893
6 0.011911
6 0.011911
6 0.011912
6 0.011912
6 0.011925
6 0.011925
6 0.011925
10 0.011930
10 0.011930
5 0.011940
5 0.011944
5 0.011969
5 0.011970
5 0.011972
9 0.011989
6 0.012101
6 0.012103
5 0.012114
6 0.012129
6 0.012130
4 0.012154
4 0.012154
5 0.012164
5 0.012166
5 0.012166
5 0.012170
4 0.012187
9 0.012188
9 0.012191
5 0.012192
5 0.012192
5 0.012203
6 0.012307
6 0.012309
6 0.012309
4 0.012317
4 0.012327
8 0.012327
8 0.012328
8 0.012330
6 0.012331
6 0.012331
6 0.012333
6 0.012333
4 0.012337
4 0.012338
4 0.012340
4 0.012342
6 0.012345
6 0.012347
6 0.012347
4 0.012351
4 0.012357
4 0.012359
6 0.012359
6 0.012360
6 0.012360
6 0.012360
4 0.012361
4 0.012371
4 0.012372
4 0.012376
4 0.012391
4 0.012396
9 0.012404
9 0.012439
4 0.012442
4 0.012453
4 0.012454
4 0.012464
4 0.012465
5 0.012465
4 0.012476
4 0.012487
4 0.012499
4 0.012500
5 0.012500
9 0.012501
6 0.012521
8 0.012546
4 0.012546
6 0.012546
10 0.012541
10 0.012551
10 0.012554
8 0.012554
8 0.012554
8 0.012557
8 0.012557
6 0.012560
5 0.012560
4 0.012581
5 0.012593
5 0.012628
5 0.012628
5 0.012629
6 0.012646
3 0.012650
6 0.012649
5 0.012654
5 0.012654
4 0.012660
5 0.012668
4 0.012680
4 0.012696
4 0.012701
4 0.012716
5 0.012720
5 0.012722
5 0.012722
4 0.012737
10 0.012738
10 0.012759
10 0.012793
10 0.012796
10 0.012863
10 0.012863
10 0.012870
4 0.012971
12 0.012971
12 0.012973
4 0.012986
4 0.012997
4 0.012998
12 0.013005
12 0.013005
4 0.013009
4 0.013012
12 0.013014
4 0.013025
4 0.013029
6 0.013030
4 0.013034
6 0.013035
4 0.013036
4 0.013054
4 0.013062
6 0.013064
6 0.013069
4 0.013070
5 0.013078
5 0.013078
7 0.013094
5 0.013109
5 0.013109
7 0.013109
5 0.013121
7 0.013130
4 0.013212
4 0.013212
5 0.013216
5 0.013216
5 0.013218
5 0.013218
5 0.013218
5 0.013248
5 0.013248
5 0.013249
5 0.013249
5 0.013249
4 0.013251
5 0.013260
5 0.013262
4 0.013281
4 0.013281
9 0.013315
4 0.013320
9 0.013362
9 0.013362
8 0.013425
5 0.013428
9 0.013558
5 0.013563
5 0.013565
5 0.013566
5 0.013595
5 0.013595
5 0.013595
5 0.013596
5 0.013612
5 0.013628
5 0.013628
5 0.013642
9 0.013648
9 0.013698
5 0.013723
5 0.013740
5 0.013740
5 0.013741
5 0.013741
5 0.013741
5 0.013741
5 0.013774
5 0.013774
5 0.013775
5 0.013775
5 0.013775
6 0.013781
6 0.013781
5 0.013788
5 0.013788
4 0.013797
8 0.013811
6 0.013818
4 0.013826
8 0.013831
8 0.013831
9 0.013835
4 0.013839
4 0.013869
4 0.013869
5 0.013875
5 0.013875
5 0.013877
5 0.013877
5 0.013877
9 0.013890
4 0.013893
4 0.013912
9 0.013937
9 0.013947
4 0.013999
4 0.014012
4 0.014017
9 0.014032
4 0.014042
4 0.014047
4 0.014052
4 0.014056
