Symbol: Al
Atomic Number: 13
Atomic Mass: 26.981500
Start Spectral Index: 13
10 0.005140
10 0.005145
10 0.005150
10 0.005156
10 0.005160
10 0.005170
10 0.005198
11 0.005230
11 0.005245
11 0.005246
9 0.005296
9 0.005310
9 0.005324
9 0.005327
9 0.005338
9 0.005341
9 0.005343
9 0.005349
9 0.005349
9 0.005355
9 0.005355
8 0.005379
8 0.005380
8 0.005382
10 0.005412
8 0.005422
11 0.005422
8 0.005426
8 0.005430
11 0.005439
10 0.005465
10 0.005470
10 0.005497
10 0.005523
10 0.005527
10 0.005528
10 0.005538
10 0.005538
10 0.005539
10 0.005545
10 0.005550
9 0.005561
9 0.005566
9 0.005566
10 0.005573
9 0.005615
9 0.005630
10 0.005659
10 0.005665
10 0.005670
10 0.005676
10 0.005680
9 0.005690
9 0.005695
10 0.005695
10 0.005696
10 0.005701
10 0.005702
9 0.005706
10 0.005707
10 0.005711
10 0.005737
8 0.005755
8 0.005762
8 0.005762
10 0.005765
10 0.005774
9 0.005806
10 0.005807
9 0.005811
10 0.005812
9 0.005822
9 0.005828
7 0.005875
10 0.005881
10 0.005886
10 0.005899
10 0.005911
10 0.005911
10 0.005928
10 0.005932
9 0.005938
9 0.005938
10 0.005945
9 0.005976
9 0.005976
9 0.005976
7 0.005983
7 0.005991
7 0.005991
10 0.006005
9 0.006014
9 0.006016
9 0.006020
9 0.006022
9 0.006026
9 0.006031
9 0.006035
9 0.006045
9 0.006050
9 0.006050
9 0.006055
9 0.006055
9 0.006055
9 0.006057
9 0.006057
9 0.006059
10 0.006061
9 0.006064
9 0.006066
10 0.006070
10 0.006090
9 0.006090
9 0.006107
9 0.006108
9 0.006165
9 0.006165
8 0.006169
12 0.006187
8 0.006202
9 0.006207
10 0.006221
9 0.006230
7 0.006230
9 0.006233
9 0.006237
9 0.006247
9 0.006247
7 0.006248
12 0.006257
9 0.006259
9 0.006259
9 0.006291
7 0.006301
9 0.006303
9 0.006303
7 0.006305
10 0.006313
9 0.006319
8 0.006320
8 0.006320
8 0.006320
9 0.006326
9 0.006326
12 0.006332
8 0.006336
8 0.006336
8 0.006336
8 0.006336
8 0.006336
8 0.006336
8 0.006336
9 0.006351
9 0.006363
9 0.006363
8 0.006371
8 0.006371
8 0.006371
8 0.006372
8 0.006372
8 0.006372
8 0.006393
8 0.006397
8 0.006400
8 0.006400
12 0.006406
8 0.006408
8 0.006411
10 0.006428
8 0.006432
8 0.006432
7 0.006433
8 0.006436
7 0.006436
8 0.006436
8 0.006437
7 0.006448
7 0.006448
7 0.006451
7 0.006451
9 0.006463
9 0.006463
7 0.006470
7 0.006481
7 0.006482
7 0.006482
9 0.006489
9 0.006489
9 0.006490
9 0.006490
7 0.006502
7 0.006502
10 0.006502
8 0.006513
8 0.006513
8 0.006530
8 0.006530
8 0.006530
8 0.006530
8 0.006530
8 0.006530
8 0.006538
12 0.006547
8 0.006549
10 0.006582
7 0.006586
7 0.006588
7 0.006589
10 0.006591
9 0.006604
10 0.006604
9 0.006609
9 0.006614
9 0.006616
9 0.006617
9 0.006624
9 0.006624
12 0.006625
9 0.006627
9 0.006628
9 0.006628
9 0.006629
8 0.006632
9 0.006632
8 0.006636
8 0.006636
7 0.006641
7 0.006642
9 0.006662
8 0.006670
8 0.006673
8 0.006677
9 0.006684
8 0.006704
8 0.006710
8 0.006712
8 0.006717
9 0.006719
8 0.006724
8 0.006724
9 0.006727
8 0.006729
8 0.006731
8 0.006731
9 0.006732
8 0.006736
9 0.006741
8 0.006741
8 0.006741
8 0.006741
8 0.006742
8 0.006744
8 0.006746
8 0.006753
8 0.006756
8 0.006756
8 0.006756
8 0.006756
8 0.006756
8 0.006756
8 0.006757
8 0.006757
9 0.006783
9 0.006783
9 0.006783
10 0.006784
8 0.006794
8 0.006794
8 0.006794
8 0.006795
8 0.006795
8 0.006795
8 0.006833
8 0.006837
7 0.006850
7 0.006851
9 0.006853
7 0.006853
7 0.006862
7 0.006863
9 0.006864
7 0.006868
9 0.006868
9 0.006878
9 0.006882
9 0.006882
8 0.006882
8 0.006882
8 0.006882
12 0.006887
9 0.006890
9 0.006896
9 0.006896
9 0.006914
9 0.006926
9 0.006927
8 0.006942
8 0.006943
8 0.006950
8 0.006950
8 0.006950
8 0.006961
8 0.006961
9 0.006972
9 0.006972
12 0.006974
8 0.006977
8 0.006977
