Symbol: Cl
Atomic Number: 17
Atomic Mass: 35.452700
Start Spectral Index: 10
1 0.819667
1 0.820138
1 0.820246
1 0.820604
1 0.821430
1 0.822271
1 0.822400
1 0.833560
2 0.835538
2 0.836300
2 0.836414
1 0.837824
2 0.838497
2 0.838549
2 0.839433
1 0.840851
1 0.843057
3 0.843598
3 0.843598
1 0.846967
3 0.848319
3 0.848319
3 0.850235
3 0.850235
3 0.855031
1 0.855279
1 0.857760
1 0.858038
2 0.858106
2 0.858106
1 0.858834
1 0.863091
1 0.864408
1 0.868866
1 0.891537
1 0.895052
1 0.904146
1 0.904791
1 0.907215
1 0.907566
1 0.912365
2 0.912610
2 0.912610
1 0.919425
1 0.920012
10 0.922000
10 0.922000
1 0.929141
2 0.938340
1 0.939644
1 0.945469
1 0.948957
1 0.958743
1 0.959485
1 0.963515
1 0.970510
1 0.974710
1 0.980975
1 0.987868
1 1.039540
2 1.043569
2 1.050950
2 1.051200
2 1.051534
2 1.051705
2 1.080443
2 1.088840
2 1.095871
1 1.112610
1 1.139574
1 1.141281
1 1.143946
1 1.172377
1 1.187001
1 1.202500
1 1.324740
1 1.329960
1 1.335040
1 1.382550
1 1.437360
1 1.493580
1 1.511210
1 1.546930
1 1.547180
1 1.552450
1 1.573440
1 1.582270
1 1.587400
1 1.588760
1 1.593330
1 1.596440
1 1.597490
1 1.608200
1 1.620290
1 1.937560
1 1.976070
1 1.977220
1 2.020490
1 2.037570
1 2.447670
1 3.961450
1 3.962610
1 3.972680
1 3.975480
1 3.976170
1 3.988620
1 3.989190
1 3.999660
1 4.009640
1 4.010040
1 4.018200
1 4.032130
1 4.034640
1 4.054330
5 6.709200
4 7.452100
2 10.035400
1 11.333352
4 11.766100
4 11.766100
2 14.367800
2 14.367800
4 20.325001
2 33.281200
3 108.072998
3 108.072998
3 151.584000
3 151.584000
End Spectral Lines:
