Symbol: Sc
Atomic Number: 21
Atomic Mass: 44.955900
Start Spectral Index: 21
7 0.047078
10 0.047112
5 0.047132
4 0.047163
4 0.047179
7 0.047281
4 0.047300
5 0.047336
5 0.047398
4 0.047412
4 0.047425
4 0.047453
4 0.047468
5 0.047468
5 0.047484
5 0.047498
4 0.047518
10 0.047532
4 0.047546
10 0.047558
4 0.047579
5 0.047600
5 0.047601
10 0.047605
10 0.047618
4 0.047621
5 0.047727
5 0.047736
4 0.047757
4 0.047776
4 0.047830
4 0.047851
4 0.047861
4 0.047880
5 0.047890
4 0.048011
5 0.048054
10 0.048088
5 0.048114
8 0.048132
4 0.048143
5 0.048207
4 0.048273
5 0.048310
5 0.048334
10 0.048341
5 0.048351
10 0.048470
8 0.048652
5 0.048660
8 0.048664
8 0.048681
4 0.048708
5 0.048709
5 0.048732
5 0.048751
5 0.048784
10 0.048789
5 0.048798
5 0.048827
5 0.048888
5 0.048889
5 0.048954
5 0.048975
10 0.049024
5 0.049041
7 0.049114
8 0.049118
5 0.049181
5 0.049195
5 0.049216
6 0.049242
5 0.049328
5 0.049385
5 0.049399
8 0.049430
5 0.049438
8 0.049443
5 0.049462
17 0.049512
5 0.049545
5 0.049582
5 0.049646
18 0.049648
5 0.049676
5 0.049714
7 0.049737
5 0.049755
5 0.049809
5 0.049819
5 0.049841
15 0.049888
5 0.049954
5 0.049956
7 0.049964
12 0.050002
5 0.050159
5 0.050272
5 0.050484
11 0.050510
5 0.050559
10 0.050735
5 0.050980
5 0.051106
16 0.051101
5 0.051250
5 0.051311
5 0.051404
12 0.051504
12 0.051504
5 0.051520
12 0.051717
5 0.051889
5 0.052017
12 0.052018
12 0.052068
9 0.052189
5 0.052240
11 0.052278
5 0.052345
5 0.052432
5 0.052443
12 0.052476
20 0.052513
5 0.052542
5 0.052549
5 0.052621
5 0.052624
4 0.052639
5 0.052701
4 0.052788
5 0.052824
4 0.052828
5 0.052853
5 0.052867
5 0.052883
5 0.052896
5 0.052904
5 0.052917
5 0.052945
5 0.052986
5 0.053035
5 0.053035
5 0.053052
5 0.053064
5 0.053096
4 0.053117
4 0.053183
4 0.053225
7 0.053258
5 0.053267
5 0.053305
5 0.053315
7 0.053344
5 0.053344
7 0.053451
5 0.053470
7 0.053538
5 0.053572
5 0.053607
5 0.053657
5 0.053669
9 0.053698
5 0.053742
9 0.053807
5 0.053919
5 0.053982
5 0.054001
5 0.054056
5 0.054078
15 0.054101
5 0.054113
5 0.054131
5 0.054208
5 0.054267
5 0.054406
5 0.054406
5 0.054445
5 0.054548
5 0.054569
5 0.054578
5 0.054602
5 0.054644
5 0.054735
12 0.054797
12 0.054907
5 0.054974
5 0.055014
5 0.055130
5 0.055237
5 0.055285
20 0.055356
5 0.055372
5 0.055423
5 0.055546
5 0.055560
8 0.055567
11 0.055568
5 0.055599
11 0.055602
11 0.055605
5 0.055616
