Symbol: Ni
Atomic Number: 28
Atomic Mass: 58.693000
Start Spectral Index: 28
27 0.001705
27 0.001708
27 0.001724
27 0.001736
27 0.001751
27 0.001759
26 0.001855
26 0.001871
26 0.001872
26 0.001873
26 0.001890
28 0.002345
28 0.002377
28 0.002387
27 0.002469
27 0.002482
18 0.002488
27 0.002502
27 0.002504
27 0.002506
27 0.002506
18 0.002507
18 0.002507
27 0.002533
27 0.002538
27 0.002550
27 0.002559
27 0.002572
27 0.002575
27 0.002583
27 0.002585
27 0.002586
27 0.002587
27 0.002588
27 0.002591
18 0.002602
18 0.002602
18 0.002605
26 0.002621
18 0.002622
18 0.002623
26 0.002636
26 0.002691
26 0.002724
26 0.002730
26 0.002758
18 0.002798
18 0.002798
26 0.002799
18 0.002802
18 0.002802
18 0.002822
18 0.002822
18 0.002911
18 0.002939
18 0.002942
18 0.002942
18 0.002978
18 0.002983
17 0.003092
18 0.003185
18 0.003189
18 0.003189
18 0.003198
18 0.003203
18 0.003234
18 0.003235
18 0.003249
18 0.003253
18 0.003254
17 0.003325
17 0.003325
17 0.003334
17 0.003334
17 0.003357
17 0.003396
18 0.003699
18 0.003705
18 0.003705
18 0.003851
18 0.003854
18 0.003857
18 0.003864
18 0.003866
17 0.003896
17 0.003935
17 0.003935
17 0.003935
17 0.003937
17 0.003937
17 0.003937
17 0.003941
17 0.003941
17 0.003941
19 0.004065
19 0.004073
18 0.004102
19 0.004112
18 0.004122
19 0.004138
18 0.004248
17 0.004286
18 0.004302
18 0.004303
18 0.004381
18 0.004437
18 0.004441
17 0.004485
17 0.004499
17 0.004502
17 0.004538
17 0.004542
18 0.004703
16 0.004718
17 0.004766
18 0.004772
16 0.004777
18 0.004799
15 0.004962
15 0.004991
15 0.005017
15 0.005022
18 0.005026
17 0.005096
18 0.005104
17 0.005200
17 0.005222
18 0.005249
18 0.005260
18 0.005261
18 0.005272
18 0.005274
17 0.005280
18 0.005282
18 0.005283
27 0.005388
18 0.005391
27 0.005418
18 0.005462
18 0.005468
18 0.005476
18 0.005482
17 0.005514
17 0.005519
17 0.005526
27 0.005530
27 0.005594
27 0.005602
13 0.005619
13 0.005639
13 0.005658
16 0.005714
16 0.005726
18 0.005730
16 0.005735
18 0.005737
18 0.005738
18 0.005739
17 0.005759
18 0.005778
18 0.005783
18 0.005820
18 0.005824
26 0.005827
15 0.005870
26 0.005891
26 0.005903
16 0.005921
16 0.005932
15 0.005959
18 0.005978
15 0.005995
18 0.005997
12 0.006001
18 0.006006
18 0.006006
18 0.006009
18 0.006021
15 0.006089
15 0.006115
10 0.006181
10 0.006191
15 0.006237
11 0.006273
18 0.006311
18 0.006313
18 0.006351
18 0.006359
18 0.006360
11 0.006364
18 0.006409
15 0.006462
14 0.006479
18 0.006487
14 0.006501
18 0.006503
18 0.006510
18 0.006530
14 0.006540
15 0.006541
10 0.006654
10 0.006669
18 0.006709
18 0.006713
18 0.006716
18 0.006760
18 0.006813
18 0.006815
18 0.006853
18 0.006907
18 0.006909
13 0.006925
13 0.006937
21 0.006961
13 0.007007
18 0.007058
23 0.007075
18 0.007118
18 0.007138
12 0.007120
22 0.007149
22 0.007152
12 0.007218
22 0.007251
12 0.007258
12 0.007279
22 0.007284
23 0.007408
10 0.007410
10 0.007427
22 0.007438
21 0.007442
12 0.007422
22 0.007450
24 0.007508
24 0.007558
12 0.007581
12 0.007570
12 0.007582
18 0.007625
18 0.007636
18 0.007638
21 0.007643
23 0.007703
19 0.007716
11 0.007739
18 0.007742
18 0.007744
18 0.007754
18 0.007757
23 0.007825
21 0.007829
11 0.007874
23 0.007875
24 0.007919
23 0.007998
18 0.008008
22 0.008018
18 0.008021
18 0.008032
22 0.008057
18 0.008067
18 0.008071
19 0.008096
22 0.008102
11 0.008112
11 0.008121
11 0.008139
11 0.008148
21 0.008170
11 0.008172
22 0.008179
18 0.008197
18 0.008200
18 0.008203
11 0.008241
11 0.008251
11 0.008261
10 0.008289
10 0.008311
10 0.008311
11 0.008312
20 0.008319
10 0.008333
11 0.008352
10 0.008368
23 0.008371
11 0.008380
22 0.008408
11 0.008410
10 0.008419
22 0.008427
10 0.008442
10 0.008466
23 0.008472
22 0.008503
18 0.008503
11 0.008521
10 0.008551
10 0.008578
22 0.008583
10 0.008630
19 0.008618
10 0.008646
10 0.008686
10 0.008708
10 0.008732
23 0.008751
24 0.008748
23 0.008767
10 0.008768
23 0.008778
22 0.008800
23 0.008810
18 0.008827
18 0.008834
24 0.008853
21 0.008882
24 0.008898
23 0.009050
23 0.009098
19 0.009101
23 0.009109
22 0.009120
10 0.009149
10 0.009175
23 0.009187
24 0.009214
23 0.009231
23 0.009274
11 0.009382
21 0.009393
20 0.009450
18 0.009466
18 0.009518
22 0.009560
21 0.009586
18 0.009591
22 0.009600
24 0.009607
21 0.009680
18 0.009699
18 0.009703
21 0.009712
24 0.009708
22 0.009818
24 0.009835
22 0.009859
18 0.009928
23 0.009981
22 0.010011
21 0.010024
18 0.010035
22 0.010037
23 0.010041
18 0.010044
23 0.010050
22 0.010061
24 0.010107
22 0.010131
